date,product,price
2020-10-30,61.5%PB粉 (PBF),860.0
2020-10-29,61.5%PB粉 (PBF),852.0
2020-10-28,61.5%PB粉 (PBF),852.0
2020-10-27,61.5%PB粉 (PBF),846.0
2020-10-26,61.5%PB粉 (PBF),847.0
2020-10-23,61.5%PB粉 (PBF),855.0
2020-10-22,61.5%PB粉 (PBF),864.0
2020-10-21,61.5%PB粉 (PBF),866.0
2020-10-20,61.5%PB粉 (PBF),860.0
2020-10-19,61.5%PB粉 (PBF),862.0
2020-10-16,61.5%PB粉 (PBF),866.0
2020-10-15,61.5%PB粉 (PBF),868.0
2020-10-14,61.5%PB粉 (PBF),883.0
2020-10-13,61.5%PB粉 (PBF),895.0
2020-10-12,61.5%PB粉 (PBF),905.0
2020-10-10,61.5%PB粉 (PBF),908.0
2020-10-09,61.5%PB粉 (PBF),908.0
2020-09-30,61.5%PB粉 (PBF),900.0
2020-09-29,61.5%PB粉 (PBF),881.0
2020-09-28,61.5%PB粉 (PBF),880.0
2020-09-27,61.5%PB粉 (PBF),877.0
2020-09-25,61.5%PB粉 (PBF),877.0
2020-09-24,61.5%PB粉 (PBF),880.0
2020-09-23,61.5%PB粉 (PBF),882.0
2020-09-22,61.5%PB粉 (PBF),895.0
2020-09-21,61.5%PB粉 (PBF),896.0
2020-09-18,61.5%PB粉 (PBF),915.0
2020-09-17,61.5%PB粉 (PBF),910.0
2020-09-16,61.5%PB粉 (PBF),914.0
2020-09-15,61.5%PB粉 (PBF),936.0
2020-09-14,61.5%PB粉 (PBF),941.0
2020-09-11,61.5%PB粉 (PBF),935.0
2020-09-10,61.5%PB粉 (PBF),930.0
2020-09-09,61.5%PB粉 (PBF),937.0
2020-09-08,61.5%PB粉 (PBF),951.0
2020-09-07,61.5%PB粉 (PBF),945.0
2020-09-04,61.5%PB粉 (PBF),948.0
2020-09-03,61.5%PB粉 (PBF),948.0
2020-09-02,61.5%PB粉 (PBF),943.0
2020-09-01,61.5%PB粉 (PBF),942.0
2020-08-31,61.5%PB粉 (PBF),941.0
2020-08-28,61.5%PB粉 (PBF),931.0
2020-08-27,61.5%PB粉 (PBF),931.0
2020-08-26,61.5%PB粉 (PBF),933.0
2020-08-25,61.5%PB粉 (PBF),938.0
2020-08-24,61.5%PB粉 (PBF),949.0
2020-08-21,61.5%PB粉 (PBF),955.0
2020-08-20,61.5%PB粉 (PBF),955.0
2020-08-19,61.5%PB粉 (PBF),950.0
2020-08-18,61.5%PB粉 (PBF),947.0
2020-08-17,61.5%PB粉 (PBF),924.0
2020-08-14,61.5%PB粉 (PBF),922.0
