date,city,inv diff,price diff
2020-10-30,北京 (beijing) - 上海 (shanghai),0.23000000000000398,-60.0
2020-10-23,北京 (beijing) - 上海 (shanghai),1.5,-40.0
2020-10-16,北京 (beijing) - 上海 (shanghai),3.020000000000003,-20.0
2020-10-09,北京 (beijing) - 上海 (shanghai),4.280000000000001,-30.0
2020-10-02,北京 (beijing) - 上海 (shanghai),1.4699999999999989,-20.0
2020-09-25,北京 (beijing) - 上海 (shanghai),2.5899999999999963,-10.0
2020-09-18,北京 (beijing) - 上海 (shanghai),8.43,-30.0
2020-09-11,北京 (beijing) - 上海 (shanghai),12.799999999999997,-40.0
2020-09-04,北京 (beijing) - 上海 (shanghai),13.729999999999997,-20.0
2020-08-28,北京 (beijing) - 上海 (shanghai),11.030000000000001,-10.0
2020-08-21,北京 (beijing) - 上海 (shanghai),6.950000000000003,20.0
2020-08-14,北京 (beijing) - 上海 (shanghai),4.630000000000003,70.0
2020-08-07,北京 (beijing) - 上海 (shanghai),1.8799999999999955,60.0
2020-07-31,北京 (beijing) - 上海 (shanghai),0.03999999999999915,80.0
2020-07-24,北京 (beijing) - 上海 (shanghai),0.03999999999999915,90.0
2020-07-17,北京 (beijing) - 上海 (shanghai),2.799999999999997,110.0
2020-07-10,北京 (beijing) - 上海 (shanghai),1.5799999999999983,110.0
2020-07-03,北京 (beijing) - 上海 (shanghai),1.7899999999999991,140.0
2020-06-26,北京 (beijing) - 上海 (shanghai),0.6199999999999974,105.0
2020-06-19,北京 (beijing) - 上海 (shanghai),2.1300000000000026,70.0
2020-06-12,北京 (beijing) - 上海 (shanghai),-0.07000000000000028,90.0
2020-06-05,北京 (beijing) - 上海 (shanghai),2.6400000000000006,90.0
2020-05-29,北京 (beijing) - 上海 (shanghai),0.3999999999999986,40.0
2020-05-22,北京 (beijing) - 上海 (shanghai),-0.37000000000000455,20.0
2020-05-15,北京 (beijing) - 上海 (shanghai),1.720000000000006,-30.0
2020-05-08,北京 (beijing) - 上海 (shanghai),1.2299999999999969,-40.0
2020-05-01,北京 (beijing) - 上海 (shanghai),0.4100000000000037,-25.0
2020-04-24,北京 (beijing) - 上海 (shanghai),1.3000000000000043,-10.0
2020-04-17,北京 (beijing) - 上海 (shanghai),6.029999999999994,0.0
2020-04-10,北京 (beijing) - 上海 (shanghai),13.340000000000003,-50.0
2020-04-03,北京 (beijing) - 上海 (shanghai),23.07,-30.0
2020-03-27,北京 (beijing) - 上海 (shanghai),33.21,-110.0
2020-03-20,北京 (beijing) - 上海 (shanghai),38.769999999999996,-100.0
2020-03-13,北京 (beijing) - 上海 (shanghai),43.019999999999996,-110.0
2020-03-06,北京 (beijing) - 上海 (shanghai),43.309999999999995,-110.0
2020-02-28,北京 (beijing) - 上海 (shanghai),44.239999999999995,-40.0
2020-02-21,北京 (beijing) - 上海 (shanghai),40.72,-30.0
2020-02-14,北京 (beijing) - 上海 (shanghai),35.739999999999995,0.0
2020-02-07,北京 (beijing) - 上海 (shanghai),28.160000000000004,70.0
2020-01-31,北京 (beijing) - 上海 (shanghai),20.61,0.0
2020-01-24,北京 (beijing) - 上海 (shanghai),6.160000000000004,-70.0
2020-01-17,北京 (beijing) - 上海 (shanghai),5.599999999999998,-140.0
2020-01-10,北京 (beijing) - 上海 (shanghai),4.560000000000002,-160.0
2020-01-03,北京 (beijing) - 上海 (shanghai),5.91,-140.0
2019-12-27,北京 (beijing) - 上海 (shanghai),3.1899999999999995,-120.0
2019-12-20,北京 (beijing) - 上海 (shanghai),1.379999999999999,-260.0
2019-12-13,北京 (beijing) - 上海 (shanghai),-2.450000000000001,-300.0
2019-12-06,北京 (beijing) - 上海 (shanghai),-2.0,-250.0
2019-11-29,北京 (beijing) - 上海 (shanghai),-2.3900000000000006,-230.0
2019-11-22,北京 (beijing) - 上海 (shanghai),2.960000000000001,-290.0
2019-11-15,北京 (beijing) - 上海 (shanghai),2.849999999999998,-220.0
2019-11-08,北京 (beijing) - 上海 (shanghai),3.2299999999999986,-110.0
2019-11-01,北京 (beijing) - 上海 (shanghai),2.039999999999999,-60.0
2019-10-25,北京 (beijing) - 上海 (shanghai),4.300000000000001,-40.0
2019-10-18,北京 (beijing) - 上海 (shanghai),4.66,-50.0
2019-10-11,北京 (beijing) - 上海 (shanghai),8.05,-120.0
2019-10-04,北京 (beijing) - 上海 (shanghai),9.079999999999998,-120.0
2019-09-27,北京 (beijing) - 上海 (shanghai),-2.9400000000000013,-120.0
2019-09-20,北京 (beijing) - 上海 (shanghai),-9.790000000000003,-60.0
2019-09-13,北京 (beijing) - 上海 (shanghai),-14.489999999999998,-25.0
2019-09-06,北京 (beijing) - 上海 (shanghai),-11.68,10.0
2019-08-30,北京 (beijing) - 上海 (shanghai),-10.280000000000001,-20.0
2019-08-23,北京 (beijing) - 上海 (shanghai),-10.209999999999997,-50.0
2019-08-16,北京 (beijing) - 上海 (shanghai),-5.43,-80.0
2019-08-09,北京 (beijing) - 上海 (shanghai),-4.5,-70.0
2019-08-02,北京 (beijing) - 上海 (shanghai),-6.260000000000005,-60.0
2019-07-26,北京 (beijing) - 上海 (shanghai),-5.940000000000001,-60.0
