date,port,price
27/3/2013,rz1,955
28/3/2013,rz1,965
29/3/2013,rz1,960
1/4/2013,rz1,955
2/4/2013,rz1,950
3/4/2013,rz1,950
7/4/2013,rz1,955
8/4/2013,rz1,955
9/4/2013,rz1,965
10/4/2013,rz1,975
11/4/2013,rz1,985
12/4/2013,rz1,985
15/4/2013,rz1,985
16/4/2013,rz1,985
17/4/2013,rz1,975
18/4/2013,rz1,975
19/4/2013,rz1,975
22/4/2013,rz1,965
23/4/2013,rz1,960
24/4/2013,rz1,955
25/4/2013,rz1,955
26/4/2013,rz1,950
27/4/2013,rz1,945
28/4/2013,rz1,945
2/5/2013,rz1,940
3/5/2013,rz1,935
6/5/2013,rz1,925
7/5/2013,rz1,925
8/5/2013,rz1,925
9/5/2013,rz1,925
10/5/2013,rz1,925
13/5/2013,rz1,925
14/5/2013,rz1,915
15/5/2013,rz1,910
16/5/2013,rz1,905
17/5/2013,rz1,895
20/5/2013,rz1,890
21/5/2013,rz1,880
22/5/2013,rz1,880
23/5/2013,rz1,875
24/5/2013,rz1,875
27/5/2013,rz1,875
28/5/2013,rz1,860
29/5/2013,rz1,845
30/5/2013,rz1,835
31/5/2013,rz1,795
3/6/2013,rz1,795
4/6/2013,rz1,805
5/6/2013,rz1,820
6/6/2013,rz1,825
7/6/2013,rz1,815
8/6/2013,rz1,805
9/6/2013,rz1,795
13/6/2013,rz1,795
14/6/2013,rz1,805
17/6/2013,rz1,815
18/6/2013,rz1,830
19/6/2013,rz1,840
20/6/2013,rz1,855
21/6/2013,rz1,855
24/6/2013,rz1,845
25/6/2013,rz1,835
26/6/2013,rz1,825
27/6/2013,rz1,820
28/6/2013,rz1,825
1/7/2013,rz1,835
2/7/2013,rz1,840
3/7/2013,rz1,845
4/7/2013,rz1,855
5/7/2013,rz1,855
8/7/2013,rz1,855
9/7/2013,rz1,855
10/7/2013,rz1,855
11/7/2013,rz1,855
12/7/2013,rz1,865
15/7/2013,rz1,870
16/7/2013,rz1,875
17/7/2013,rz1,875
18/7/2013,rz1,880
19/7/2013,rz1,890
22/7/2013,rz1,885
23/7/2013,rz1,885
24/7/2013,rz1,885
25/7/2013,rz1,895
26/7/2013,rz1,895
29/7/2013,rz1,895
30/7/2013,rz1,890
31/7/2013,rz1,890
1/8/2013,rz1,885
2/8/2013,rz1,885
5/8/2013,rz1,885
6/8/2013,rz1,890
7/8/2013,rz1,895
8/8/2013,rz1,905
9/8/2013,rz1,905
12/8/2013,rz1,910
13/8/2013,rz1,920
14/8/2013,rz1,940
15/8/2013,rz1,955
16/8/2013,rz1,950
19/8/2013,rz1,940
20/8/2013,rz1,940
21/8/2013,rz1,940
22/8/2013,rz1,935
23/8/2013,rz1,930
26/8/2013,rz1,930
27/8/2013,rz1,935
28/8/2013,rz1,935
29/8/2013,rz1,940
30/8/2013,rz1,940
2/9/2013,rz1,935
3/9/2013,rz1,945
4/9/2013,rz1,945
5/9/2013,rz1,945
6/9/2013,rz1,940
9/9/2013,rz1,940
10/9/2013,rz1,940
11/9/2013,rz1,940
12/9/2013,rz1,940
13/9/2013,rz1,935
16/9/2013,rz1,935
17/9/2013,rz1,930
18/9/2013,rz1,925
22/9/2013,rz1,925
23/9/2013,rz1,925
24/9/2013,rz1,925
25/9/2013,rz1,925
26/9/2013,rz1,920
27/9/2013,rz1,915
29/9/2013,rz1,915
30/9/2013,rz1,915
8/10/2013,rz1,915
9/10/2013,rz1,910
10/10/2013,rz1,910
11/10/2013,rz1,915
12/10/2013,rz1,920
14/10/2013,rz1,920
15/10/2013,rz1,920
16/10/2013,rz1,920
17/10/2013,rz1,920
18/10/2013,rz1,920
21/10/2013,rz1,920
22/10/2013,rz1,920
23/10/2013,rz1,920
24/10/2013,rz1,920
25/10/2013,rz1,915
28/10/2013,rz1,910
29/10/2013,rz1,910
30/10/2013,rz1,905
31/10/2013,rz1,905
1/11/2013,rz1,905
4/11/2013,rz1,910
5/11/2013,rz1,920
6/11/2013,rz1,920
7/11/2013,rz1,925
8/11/2013,rz1,925
11/11/2013,rz1,925
12/11/2013,rz1,920
13/11/2013,rz1,920
14/11/2013,rz1,920
15/11/2013,rz1,920
18/11/2013,rz1,920
19/11/2013,rz1,915
20/11/2013,rz1,910
21/11/2013,rz1,910
22/11/2013,rz1,910
25/11/2013,rz1,910
26/11/2013,rz1,910
27/11/2013,rz1,910
28/11/2013,rz1,910
29/11/2013,rz1,915
2/12/2013,rz1,915
3/12/2013,rz1,915
4/12/2013,rz1,915
5/12/2013,rz1,915
6/12/2013,rz1,915
9/12/2013,rz1,915
10/12/2013,rz1,915
11/12/2013,rz1,915
12/12/2013,rz1,910
13/12/2013,rz1,910
16/12/2013,rz1,910
17/12/2013,rz1,905
18/12/2013,rz1,905
19/12/2013,rz1,900
20/12/2013,rz1,895
23/12/2013,rz1,895
24/12/2013,rz1,890
25/12/2013,rz1,885
26/12/2013,rz1,885
27/12/2013,rz1,885
30/12/2013,rz1,885
31/12/2013,rz1,885
2/1/2014,rz1,890
3/1/2014,rz1,895
6/1/2014,rz1,900
7/1/2014,rz1,900
8/1/2014,rz1,900
9/1/2014,rz1,895
10/1/2014,rz1,895
13/1/2014,rz1,895
14/1/2014,rz1,895
15/1/2014,rz1,885
16/1/2014,rz1,880
17/1/2014,rz1,875
20/1/2014,rz1,870
21/1/2014,rz1,860
22/1/2014,rz1,855
23/1/2014,rz1,845
24/1/2014,rz1,845
26/1/2014,rz1,855
27/1/2014,rz1,855
28/1/2014,rz1,855
29/1/2014,rz1,850
30/1/2014,rz1,850
7/2/2014,rz1,850
8/2/2014,rz1,850
10/2/2014,rz1,840
11/2/2014,rz1,840
12/2/2014,rz1,830
13/2/2014,rz1,830
14/2/2014,rz1,835
17/2/2014,rz1,835
18/2/2014,rz1,835
19/2/2014,rz1,835
20/2/2014,rz1,835
21/2/2014,rz1,830
24/2/2014,rz1,825
25/2/2014,rz1,820
26/2/2014,rz1,805
27/2/2014,rz1,795
28/2/2014,rz1,795
3/3/2014,rz1,795
4/3/2014,rz1,790
5/3/2014,rz1,785
6/3/2014,rz1,765
7/3/2014,rz1,760
10/3/2014,rz1,750
11/3/2014,rz1,720
12/3/2014,rz1,705
13/3/2014,rz1,705
14/3/2014,rz1,715
17/3/2014,rz1,720
18/3/2014,rz1,720
19/3/2014,rz1,720
20/3/2014,rz1,715
21/3/2014,rz1,710
24/3/2014,rz1,710
25/3/2014,rz1,715
26/3/2014,rz1,725
27/3/2014,rz1,730
28/3/2014,rz1,730
31/3/2014,rz1,730
1/4/2014,rz1,745
2/4/2014,rz1,765
3/4/2014,rz1,760
4/4/2014,rz1,755
8/4/2014,rz1,765
9/4/2014,rz1,785
10/4/2014,rz1,795
11/4/2014,rz1,795
14/4/2014,rz1,795
15/4/2014,rz1,790
16/4/2014,rz1,785
17/4/2014,rz1,775
18/4/2014,rz1,775
21/4/2014,rz1,765
22/4/2014,rz1,760
23/4/2014,rz1,750
24/4/2014,rz1,745
25/4/2014,rz1,745
28/4/2014,rz1,745
29/4/2014,rz1,735
30/4/2014,rz1,725
4/5/2014,rz1,720
5/5/2014,rz1,720
6/5/2014,rz1,720
7/5/2014,rz1,715
8/5/2014,rz1,710
9/5/2014,rz1,705
12/5/2014,rz1,705
13/5/2014,rz1,695
14/5/2014,rz1,695
15/5/2014,rz1,695
16/5/2014,rz1,695
19/5/2014,rz1,695
20/5/2014,rz1,685
21/5/2014,rz1,680
22/5/2014,rz1,675
23/5/2014,rz1,675
26/5/2014,rz1,675
27/5/2014,rz1,675
28/5/2014,rz1,670
29/5/2014,rz1,665
30/5/2014,rz1,665
3/6/2014,rz1,655
4/6/2014,rz1,650
5/6/2014,rz1,645
6/6/2014,rz1,645
9/6/2014,rz1,645
10/6/2014,rz1,645
11/6/2014,rz1,640
12/6/2014,rz1,635
13/6/2014,rz1,625
16/6/2014,rz1,605
17/6/2014,rz1,605
18/6/2014,rz1,600
19/6/2014,rz1,600
20/6/2014,rz1,600
23/6/2014,rz1,600
24/6/2014,rz1,610
25/6/2014,rz1,615
26/6/2014,rz1,620
27/6/2014,rz1,630
30/6/2014,rz1,630
1/7/2014,rz1,625
2/7/2014,rz1,620
3/7/2014,rz1,625
4/7/2014,rz1,640
7/7/2014,rz1,645
8/7/2014,rz1,645
9/7/2014,rz1,645
10/7/2014,rz1,645
11/7/2014,rz1,645
14/7/2014,rz1,650
15/7/2014,rz1,655
16/7/2014,rz1,655
17/7/2014,rz1,660
18/7/2014,rz1,660
21/7/2014,rz1,655
22/7/2014,rz1,645
23/7/2014,rz1,640
24/7/2014,rz1,640
25/7/2014,rz1,635
28/7/2014,rz1,635
29/7/2014,rz1,635
30/7/2014,rz1,640
31/7/2014,rz1,640
1/8/2014,rz1,640
4/8/2014,rz1,640
5/8/2014,rz1,640
6/8/2014,rz1,645
7/8/2014,rz1,645
8/8/2014,rz1,645
11/8/2014,rz1,645
12/8/2014,rz1,640
13/8/2014,rz1,635
14/8/2014,rz1,630
15/8/2014,rz1,625
18/8/2014,rz1,625
19/8/2014,rz1,620
20/8/2014,rz1,615
21/8/2014,rz1,615
22/8/2014,rz1,610
25/8/2014,rz1,605
26/8/2014,rz1,600
27/8/2014,rz1,600
28/8/2014,rz1,600
29/8/2014,rz1,595
1/9/2014,rz1,595
2/9/2014,rz1,595
3/9/2014,rz1,595
4/9/2014,rz1,585
5/9/2014,rz1,580
9/9/2014,rz1,570
10/9/2014,rz1,570
11/9/2014,rz1,565
12/9/2014,rz1,560
15/9/2014,rz1,565
16/9/2014,rz1,585
17/9/2014,rz1,585
18/9/2014,rz1,580
