date,usdcny
27/5/2019,6.8982
26/5/2019,6.9002
25/5/2019,6.9003
24/5/2019,6.9002
23/5/2019,6.9105
22/5/2019,6.9062
21/5/2019,6.9023
20/5/2019,6.9123
19/5/2019,6.9186
18/5/2019,6.9186
17/5/2019,6.9186
16/5/2019,6.8838
15/5/2019,6.8761
14/5/2019,6.8759
13/5/2019,6.8784
12/5/2019,6.8241
11/5/2019,6.8240
10/5/2019,6.8240
9/5/2019,6.8275
8/5/2019,6.7829
7/5/2019,6.7769
6/5/2019,6.7646
5/5/2019,6.7346
4/5/2019,6.7346
3/5/2019,6.7346
2/5/2019,6.7348
1/5/2019,6.7350
30/4/2019,6.7348
29/4/2019,6.7337
28/4/2019,6.7298
27/4/2019,6.7298
26/4/2019,6.7297
25/4/2019,6.7431
24/4/2019,6.7219
23/4/2019,6.7259
22/4/2019,6.7092
21/4/2019,6.7044
20/4/2019,6.7044
19/4/2019,6.7044
18/4/2019,6.7091
17/4/2019,6.6882
16/4/2019,6.7122
15/4/2019,6.7087
14/4/2019,6.7042
13/4/2019,6.7044
12/4/2019,6.7042
11/4/2019,6.7194
10/4/2019,6.7161
9/4/2019,6.7118
8/4/2019,6.7165
7/4/2019,6.7179
6/4/2019,6.7179
5/4/2019,6.7180
4/4/2019,6.7173
3/4/2019,6.7114
2/4/2019,6.7233
1/4/2019,6.7115
31/3/2019,6.7121
30/3/2019,6.7121
29/3/2019,6.7121
28/3/2019,6.7391
27/3/2019,6.7272
26/3/2019,6.7157
25/3/2019,6.7094
24/3/2019,6.7182
23/3/2019,6.7181
22/3/2019,6.7182
21/3/2019,6.6981
20/3/2019,6.6946
19/3/2019,6.7120
18/3/2019,6.7130
17/3/2019,6.7135
16/3/2019,6.7135
15/3/2019,6.7137
14/3/2019,6.7229
13/3/2019,6.7070
12/3/2019,6.7086
11/3/2019,6.7264
10/3/2019,6.7216
9/3/2019,6.7216
8/3/2019,6.7215
7/3/2019,6.7149
6/3/2019,6.7115
5/3/2019,6.7075
4/3/2019,6.7070
3/3/2019,6.7064
2/3/2019,6.7064
1/3/2019,6.7064
28/2/2019,6.6937
27/2/2019,6.6872
26/2/2019,6.7002
25/2/2019,6.6892
24/2/2019,6.7144
23/2/2019,6.7142
22/2/2019,6.7142
21/2/2019,6.7223
20/2/2019,6.7207
19/2/2019,6.7585
18/2/2019,6.7666
17/2/2019,6.7731
16/2/2019,6.7731
15/2/2019,6.7731
14/2/2019,6.7721
13/2/2019,6.7604
12/2/2019,6.7738
11/2/2019,6.7924
10/2/2019,6.7448
9/2/2019,6.7448
8/2/2019,6.7448
7/2/2019,6.7448
6/2/2019,6.7448
5/2/2019,6.7448
4/2/2019,6.7448
3/2/2019,6.7449
2/2/2019,6.7449
1/2/2019,6.7449
31/1/2019,6.7004
30/1/2019,6.7165
29/1/2019,6.7329
28/1/2019,6.7453
27/1/2019,6.7473
26/1/2019,6.7473
25/1/2019,6.7487
24/1/2019,6.7886
23/1/2019,6.7920
22/1/2019,6.8080
21/1/2019,6.7980
20/1/2019,6.7788
19/1/2019,6.7788
18/1/2019,6.7787
17/1/2019,6.7762
16/1/2019,6.7575
15/1/2019,6.7610
14/1/2019,6.7681
13/1/2019,6.7627
12/1/2019,6.7627
11/1/2019,6.7628
10/1/2019,6.7885
9/1/2019,6.8180
8/1/2019,6.8532
7/1/2019,6.8511
6/1/2019,6.8694
5/1/2019,6.8694
4/1/2019,6.8695
3/1/2019,6.8720
2/1/2019,6.8621
1/1/2019,6.8785
31/12/2018,6.8785
30/12/2018,6.8782
29/12/2018,6.8782
28/12/2018,6.8782
27/12/2018,6.8663
26/12/2018,6.8991
25/12/2018,6.8993
24/12/2018,6.8991
23/12/2018,6.9064
22/12/2018,6.9064
21/12/2018,6.9065
20/12/2018,6.8852
19/12/2018,6.8912
18/12/2018,6.8951
17/12/2018,6.8972
16/12/2018,6.9076
15/12/2018,6.9076
14/12/2018,6.9076
13/12/2018,6.8817
12/12/2018,6.8800
11/12/2018,6.8995
10/12/2018,6.9125
9/12/2018,6.8744
8/12/2018,6.8744
7/12/2018,6.8743
6/12/2018,6.8828
5/12/2018,6.8568
4/12/2018,6.8370
3/12/2018,6.8835
2/12/2018,6.9590
1/12/2018,6.9590
30/11/2018,6.9590
29/11/2018,6.9429
28/11/2018,6.9539
27/11/2018,6.9515
26/11/2018,6.9408
25/11/2018,6.9485
24/11/2018,6.9485
23/11/2018,6.9485
22/11/2018,6.9320
21/11/2018,6.9271
20/11/2018,6.9458
19/11/2018,6.9420
18/11/2018,6.9380
17/11/2018,6.9380
16/11/2018,6.9380
15/11/2018,6.9391
14/11/2018,6.9505
13/11/2018,6.9560
12/11/2018,6.9636
11/11/2018,6.9569
10/11/2018,6.9569
9/11/2018,6.9568
8/11/2018,6.9343
7/11/2018,6.9200
6/11/2018,6.9194
5/11/2018,6.9259
4/11/2018,6.8909
3/11/2018,6.8909
2/11/2018,6.8909
1/11/2018,6.9237
31/10/2018,6.9758
30/10/2018,6.9673
29/10/2018,6.9619
28/10/2018,6.9435
27/10/2018,6.9435
26/10/2018,6.9435
25/10/2018,6.9489
24/10/2018,6.9440
23/10/2018,6.9384
22/10/2018,6.9474
21/10/2018,6.9296
20/10/2018,6.9296
19/10/2018,6.9296
18/10/2018,6.9378
17/10/2018,6.9275
16/10/2018,6.9119
15/10/2018,6.9170
14/10/2018,6.9222
13/10/2018,6.9222
12/10/2018,6.9222
11/10/2018,6.8899
10/10/2018,6.9243
9/10/2018,6.9228
8/10/2018,6.9307
7/10/2018,6.8689
6/10/2018,6.8689
5/10/2018,6.8689
4/10/2018,6.8689
3/10/2018,6.8689
2/10/2018,6.8689
1/10/2018,6.8688
30/9/2018,6.8690
29/9/2018,6.8690
28/9/2018,6.8691
27/9/2018,6.8903
26/9/2018,6.8829
25/9/2018,6.8705
24/9/2018,6.8756
23/9/2018,6.8577
22/9/2018,6.8577
21/9/2018,6.8619
20/9/2018,6.8524
19/9/2018,6.8555
18/9/2018,6.8758
17/9/2018,6.8756
16/9/2018,6.8709
15/9/2018,6.8709
14/9/2018,6.8686
13/9/2018,6.8580
12/9/2018,6.8694
11/9/2018,6.8820
10/9/2018,6.8593
9/9/2018,6.8438
8/9/2018,6.8438
7/9/2018,6.8583
6/9/2018,6.8367
5/9/2018,6.8360
4/9/2018,6.8499
3/9/2018,6.8365
2/9/2018,6.8300
1/9/2018,6.8300
31/8/2018,6.8481
30/8/2018,6.8486
29/8/2018,6.8327
28/8/2018,6.8104
27/8/2018,6.8209
26/8/2018,6.8063
