timeframe,name,change in price,port,product,std from avg
5d,61.5%PB粉品牌价格：天津港（日）,12.0,Tianjin,61.5%PB粉,0.08770580193070625
10d,61.5%PB粉品牌价格：天津港（日）,51.0,Tianjin,61.5%PB粉,0.8572222039160516
15d,61.5%PB粉品牌价格：天津港（日）,77.0,Tianjin,61.5%PB粉,1.0989082217104977
20d,61.5%PB粉品牌价格：天津港（日）,61.0,Tianjin,61.5%PB粉,1.3786800546789497
25d,61.5%PB粉品牌价格：天津港（日）,118.0,Tianjin,61.5%PB粉,1.488466404155235
30d,61.5%PB粉品牌价格：天津港（日）,155.0,Tianjin,61.5%PB粉,1.4737648093823246
40d,61.5%PB粉品牌价格：天津港（日）,171.0,Tianjin,61.5%PB粉,1.6208087589451976
50d,61.5%PB粉品牌价格：天津港（日）,166.0,Tianjin,61.5%PB粉,1.7779091077184277
60d,61.5%PB粉品牌价格：天津港（日）,212.0,Tianjin,61.5%PB粉,1.9220580260508766
5d,62.5%PB块品牌价格：天津港（日）,-4.0,Tianjin,62.5%PB块,-0.6644319500693499
10d,62.5%PB块品牌价格：天津港（日）,36.0,Tianjin,62.5%PB块,0.5448556704370076
15d,62.5%PB块品牌价格：天津港（日）,59.0,Tianjin,62.5%PB块,0.9313401763813369
20d,62.5%PB块品牌价格：天津港（日）,37.0,Tianjin,62.5%PB块,1.2085538587714146
25d,62.5%PB块品牌价格：天津港（日）,91.0,Tianjin,62.5%PB块,1.3321719961489003
30d,62.5%PB块品牌价格：天津港（日）,124.0,Tianjin,62.5%PB块,1.3283188465893578
40d,62.5%PB块品牌价格：天津港（日）,136.0,Tianjin,62.5%PB块,1.4883551136054922
50d,62.5%PB块品牌价格：天津港（日）,137.0,Tianjin,62.5%PB块,1.6507024476767453
60d,62.5%PB块品牌价格：天津港（日）,163.0,Tianjin,62.5%PB块,1.8106205471229557
5d,58.5%混合粉品牌价格：天津港（日）,22.0,Tianjin,58.5%混合粉,0.6573184240142065
