date,usdcny
2019-07-01,6.852
2019-06-30,6.8667
2019-06-29,6.8668
2019-06-28,6.8668
2019-06-27,6.877000000000002
2019-06-26,6.8801
2019-06-25,6.8797
2019-06-24,6.8771
2019-06-23,6.8697
2019-06-22,6.87
2019-06-21,6.87
2019-06-20,6.8519
2019-06-19,6.9036
2019-06-18,6.9035
2019-06-17,6.9258
2019-06-16,6.9257
2019-06-15,6.9254
2019-06-14,6.9254
2019-06-13,6.9217
2019-06-12,6.9179999999999975
2019-06-11,6.9111
2019-06-10,6.931
2019-06-09,6.9097
2019-06-08,6.9098
2019-06-07,6.9098
2019-06-06,6.91
2019-06-05,6.9091
2019-06-04,6.9083
2019-06-03,6.9036
2019-06-02,6.9049
2019-06-01,6.9051
2019-05-31,6.9051
2019-05-30,6.9017
2019-05-29,6.9143
2019-05-28,6.9102
2019-05-27,6.8982
2019-05-26,6.9001
2019-05-25,6.9002
2019-05-24,6.9003
2019-05-23,6.9105
2019-05-22,6.9061
2019-05-21,6.9023
2019-05-20,6.9123
2019-05-19,6.9184
2019-05-18,6.9185
2019-05-17,6.9185
2019-05-16,6.8838
2019-05-15,6.8761
2019-05-14,6.8759
2019-05-13,6.8784
2019-05-12,6.8241
2019-05-11,6.824
2019-05-10,6.824
2019-05-09,6.8275
2019-05-08,6.783
2019-05-07,6.7769
2019-05-06,6.7645
2019-05-05,6.7345
2019-05-04,6.7346
2019-05-03,6.7346
2019-05-02,6.7344
2019-05-01,6.7348
2019-04-30,6.7349
2019-04-29,6.7338
2019-04-28,6.7298
2019-04-27,6.7297
2019-04-26,6.7299
2019-04-25,6.7432
2019-04-24,6.7219
2019-04-23,6.7259
2019-04-22,6.7094
2019-04-21,6.7042
2019-04-20,6.7044
2019-04-19,6.7044
2019-04-18,6.7091
2019-04-17,6.6881
2019-04-16,6.7122
2019-04-15,6.7089
2019-04-14,6.7042
2019-04-13,6.7042
2019-04-12,6.7042
2019-04-11,6.7196
2019-04-10,6.716
2019-04-09,6.7117
2019-04-08,6.7163
2019-04-07,6.7179
2019-04-06,6.7179
2019-04-05,6.7179
2019-04-04,6.7172
2019-04-03,6.7115
2019-04-02,6.7233
2019-04-01,6.7113
2019-03-31,6.7121
2019-03-30,6.7120000000000015
2019-03-29,6.7120000000000015
2019-03-28,6.7393
2019-03-27,6.7269
2019-03-26,6.7156
2019-03-25,6.7091
2019-03-24,6.7181
2019-03-23,6.7181
2019-03-22,6.7181
2019-03-21,6.6989
2019-03-20,6.6944
2019-03-19,6.7119
2019-03-18,6.712999999999999
2019-03-17,6.7136
2019-03-16,6.7133
2019-03-15,6.7133
2019-03-14,6.7229
2019-03-13,6.7069
2019-03-12,6.7085
2019-03-11,6.7261
2019-03-10,6.7216
2019-03-09,6.7214
2019-03-08,6.7215
2019-03-07,6.715
2019-03-06,6.7116
2019-03-05,6.7074
