Macrotrends Data Download

Dollar Yuan Exchange Rate - 35 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1981-01-02,1.5300
1981-01-05,1.5400
1981-01-06,1.5300
1981-01-07,1.5300
1981-01-08,1.5300
1981-01-09,1.5400
1981-01-12,1.5400
1981-01-13,1.5400
1981-01-14,1.5400
1981-01-15,1.5400
1981-01-16,1.5600
1981-01-19,1.5600
1981-01-20,1.5600
1981-01-21,1.5600
1981-01-22,1.5500
1981-01-23,1.5500
1981-01-26,1.5600
1981-01-27,1.5800
1981-01-28,1.5800
1981-01-29,1.5900
1981-01-30,1.5900
1981-02-02,1.6100
1981-02-03,1.6100
1981-02-04,1.6000
1981-02-05,1.6000
1981-02-06,1.6000
1981-02-09,1.6100
1981-02-10,1.6100
1981-02-11,1.6100
1981-02-13,1.6300
1981-02-17,1.6600
1981-02-18,1.6300
1981-02-19,1.6300
1981-02-20,1.6000
1981-02-23,1.5900
1981-02-24,1.6100
1981-02-25,1.6000
1981-02-26,1.6200
1981-02-27,1.6200
1981-03-02,1.6300
1981-03-03,1.6500
1981-03-04,1.6400
1981-03-05,1.6500
1981-03-06,1.6500
1981-03-09,1.6500
1981-03-10,1.6400
1981-03-11,1.6400
1981-03-12,1.6400
1981-03-13,1.6400
1981-03-16,1.6400
1981-03-17,1.6300
1981-03-18,1.6200
1981-03-19,1.6000
1981-03-20,1.6100
1981-03-23,1.6100
1981-03-24,1.6200
1981-03-25,1.6200
1981-03-26,1.6200
1981-03-27,1.6400
1981-03-30,1.6400
1981-03-31,1.6200
1981-04-01,1.6300
1981-04-02,1.6300
1981-04-03,1.6400
1981-04-06,1.6500
1981-04-07,1.6600
1981-04-08,1.6500
1981-04-09,1.6500
1981-04-10,1.6600
1981-04-13,1.6600
1981-04-14,1.6700
1981-04-15,1.6700
1981-04-16,1.6800
1981-04-17,1.6800
1981-04-20,1.6800
1981-04-21,1.6800
1981-04-22,1.6800
1981-04-23,1.6800
1981-04-24,1.6800
1981-04-27,1.6800
1981-04-28,1.6800
1981-04-29,1.6800
1981-04-30,1.6900
1981-05-01,1.6900
1981-05-04,1.6900
1981-05-05,1.7100
1981-05-06,1.7200
1981-05-07,1.7200
1981-05-08,1.7200
1981-05-11,1.7200
1981-05-12,1.7300
1981-05-13,1.7300
1981-05-14,1.7400
1981-05-15,1.7400
1981-05-18,1.7400
1981-05-19,1.7400
1981-05-20,1.7400
1981-05-21,1.7300
1981-05-22,1.7400
1981-05-26,1.7400
1981-05-27,1.7500
1981-05-28,1.7500
1981-05-29,1.7500
1981-06-01,1.7500
1981-06-02,1.7600
1981-06-03,1.7600
1981-06-04,1.7700
1981-06-05,1.7800
1981-06-08,1.7800
1981-06-09,1.7800
1981-06-10,1.7700
1981-06-11,1.7800
1981-06-12,1.7700
1981-06-15,1.7500
1981-06-16,1.7500
1981-06-17,1.7500
1981-06-18,1.7600
1981-06-19,1.7600
1981-06-22,1.7500
